Time,Output Speed,Weight on bit
57.15,169.8811982,505.0998725
57.16,166.7853491,548.0200597
57.17,161.3220759,577.6596819
57.18,153.9638764,605.043979
57.19,145.3574545,613.5401425
57.2,136.2674074,611.2517463
57.21,127.5096313,616.1301806
57.22,119.8756148,603.6841546
57.23,114.0604695,586.1582796
57.24,110.5748872,576.2009113
57.25,109.675316,551.9510035
57.26,111.3581079,529.7684681
57.27,115.3943366,507.9121666
57.28,121.395309,482.9216485
57.29,128.8648374,462.3658037
57.3,137.2264385,444.0892879
57.31,145.8440206,428.0459714
57.32,154.0463674,427.5413841
57.33,161.1600366,424.9422387
57.34,166.567422,446.112716
57.35,169.7612678,465.1087866
57.36,170.414665,502.5063705
57.37,168.422087,532.3337889
57.38,163.9278271,567.2149029
57.39,157.3107455,587.8396052
57.4,149.1513891,608.9985989
57.41,140.1706217,614.9188459
57.42,131.1705493,618.8569466
57.43,122.9610009,602.1276488
57.44,116.2922034,595.147877
57.45,111.7600879,574.7216118
57.46,109.7384178,561.0706391
57.47,110.3310677,539.5169811
57.48,113.3979665,514.1652644
57.49,118.6126172,493.2483629
57.5,125.5188349,467.3123869
57.51,133.5737304,455.9328195
57.52,142.1619745,433.5108823
57.53,150.6254209,423.9983024
57.54,158.2856397,418.5726729
57.55,164.4949597,437.4003675
57.56,168.6891151,454.738374
57.57,170.4585566,492.7037513
57.58,169.5962826,517.0210985
57.59,166.141093,553.3236298
57.6,160.3730612,576.8476889
57.61,152.7940639,608.7642078
57.62,144.0696729,613.2494254
57.63,134.9772711,615.7654562
57.64,126.3322357,611.8327179
57.65,118.9192145,601.0624641
57.66,113.4107356,582.4059736
57.67,110.2858421,577.3914844
57.68,109.7608531,548.9566005
57.69,111.7984511,528.4742645
57.7,116.1410844,496.9303576
57.71,122.3851359,479.5561911
57.72,130.0188459,457.9401879
57.73,138.4570746,439.5081662
57.74,147.0570074,426.0169501
57.75,155.1441318,422.2585197
57.76,162.0514052,440.2365534
57.77,167.1688657,446.553472
57.78,170.0150966,468.3654608
57.79,170.2903074,493.2523463
57.8,167.9276883,548.7625663
57.81,163.1007755,569.3332237
57.82,156.2240203,591.5534538
57.83,147.9003848,608.521232
57.84,138.8668586,614.7845507
57.85,129.9307951,617.038138
57.86,121.8984789,605.0339511
57.87,115.50247,592.6006127
57.88,111.3127843,577.5102754
57.89,109.6641694,561.1162393
57.9,110.6236988,536.6877635
57.91,114.0208549,510.6486342
57.92,119.5074515,489.2833967
57.93,126.6129044,465.3078062
57.94,134.7818431,441.6545933
57.95,143.3946077,432.8223391
57.96,151.7848268,425.4930837
57.97,159.2755366,415.6370907
57.98,165.2287196,436.1386785
57.99,169.0975626,458.7728434
58,170.4979436,491.7293825
58.01,169.2578119,526.2348386
58.02,165.4492214,557.7687014
58.03,159.3869885,578.5372991
58.04,151.5994406,597.0976153
58.05,142.774543,615.4933025
58.06,133.6960551,617.3624736
58.07,125.1796015,601.9133786
58.08,118.0025357,603.1094114
58.09,112.8105899,583.405121
58.1,110.0494342,570.5694045
58.11,109.899056,546.1880656
58.12,112.2854017,520.975242
58.13,116.9281884,498.8255306
58.14,123.4034595,476.2013206
58.15,131.1898763,458.7370568
58.16,139.6909909,434.156209
58.17,148.2599639,429.2908885
58.18,156.2181563,422.6495916
58.19,162.9047297,438.852039
58.2,167.7237059,448.0772587
58.21,170.2165163,477.6286582
58.22,170.1127754,498.8859772
58.23,167.3812141,546.3629667
58.24,162.2315903,571.7859974
58.25,155.1079919,600.5642142
58.26,146.6348027,608.1566147
58.27,137.5655125,619.2005563
58.28,128.7095747,614.6075773
58.29,120.8693973,605.7433639
58.3,114.7582209,590.4957435
58.31,110.9175976,578.4866626
58.32,109.6428098,554.5806682
58.33,110.9663032,533.2367653
58.34,114.6859014,501.1202821
58.35,120.4360733,491.0021994
58.36,127.72894,464.863646
58.37,136.0002536,439.810816
58.38,144.6226881,431.7907968
58.39,152.9256011,424.393618
58.4,160.2353583,431.4816462
58.41,165.9197877,436.349125
58.42,169.4552792,463.1045808
58.43,170.4831424,492.2822906
58.44,168.8668758,540.1365235
58.45,164.710839,559.9480383
58.46,158.3659904,587.0090994
58.47,150.3847064,599.9427738
58.48,141.4741337,616.8175748
58.49,132.426263,617.3892314
58.5,124.0556655,603.7095337
58.51,117.1263385,601.1777983
58.52,112.2602331,582.1537215
58.53,109.8665139,561.5057538
58.54,110.0892021,541.9306944
58.55,112.8192481,518.9306651
58.56,117.7525084,497.638799
58.57,124.4487334,473.6360797
58.58,132.3747203,450.5319465
58.59,140.9276658,443.6981398
58.6,149.4499889,427.394346
58.61,157.2658192,419.8799586
58.62,163.7191765,430.4065402
58.63,168.2313533,457.9071256
58.64,170.3641693,481.7249601
58.65,169.8813975,507.7271599
58.66,166.7852663,546.9482754
58.67,161.3218716,575.0994809
58.68,153.9632121,597.0945992
58.69,145.3581829,621.7791077
58.7,136.2680942,618.5465113
58.71,127.5090453,610.2951453
58.72,119.8765243,612.2141619
58.73,114.0610673,591.50403
58.74,110.5744938,572.7866053
58.75,109.6751621,550.6253026
58.76,111.3579748,528.6050504
58.77,115.3937719,502.804627
58.78,121.3958016,487.6002252
58.79,128.8648748,462.7426241
58.8,137.2254896,433.9393806
58.81,145.8444293,432.6850627
58.82,154.0459753,422.8467267
